# time	energy_highpass
13.050000	-0.127578
13.060000	-3.824594
13.070000	-5.789737
13.080000	-11.313307
13.090000	-10.208295
13.100000	-3.142519
13.110000	5.252222
13.120000	-9.515635
13.130000	-17.325193
13.140000	-13.114524
13.150000	-6.504331
13.160000	-3.307856
13.170000	0.521979
13.180000	4.604137
13.190000	1.947277
13.200000	-0.289613
13.210000	0.888721
13.220000	-6.087945
13.230000	-3.097829
13.240000	1.930165
13.250000	4.836351
13.260000	4.739479
13.270000	2.270581
13.280000	5.445184
13.290000	3.645160
13.300000	5.337931
13.310000	4.620641
13.320000	1.654607
13.330000	3.814601
13.340000	2.319245
13.350000	2.558300
13.360000	0.292008
13.370000	0.018465
13.380000	1.753186
13.390000	-0.160351
13.400000	0.463072
13.410000	2.107588
13.420000	8.026780
13.430000	3.678934
13.440000	8.829756
13.450000	1.274387
13.460000	-7.360541
13.470000	-8.701244
13.480000	-1.929046
13.490000	-4.725060
13.500000	-1.438175
13.510000	-0.699602
13.520000	0.794951
13.530000	-0.273312
13.540000	-9.144916
13.550000	-0.212201
13.560000	-3.109825
13.570000	0.890967
13.580000	2.581646
13.590000	0.029478
13.600000	-4.777809
13.610000	-4.319745
13.620000	-0.918727
13.630000	-2.995965
13.640000	1.390938
13.650000	-0.148751
13.660000	3.249541
13.670000	0.323374
13.680000	7.149551
13.690000	-1.685057
13.700000	7.129277
13.710000	-2.477795
13.720000	-2.693931
13.730000	2.226916
13.740000	4.786363
13.750000	0.685157
13.760000	3.750197
13.770000	1.505682
13.780000	-0.469633
13.790000	-0.980672
13.800000	3.734567
13.810000	5.846728
13.820000	-0.074263
13.830000	-0.359039
13.840000	0.363913
13.850000	2.272869
13.860000	5.465998
13.870000	5.334373
13.880000	-0.118744
13.890000	-3.760232
13.900000	2.220420
13.910000	0.616569
13.920000	4.021580
13.930000	-0.231962
13.940000	-3.812394
13.950000	-4.532440
13.960000	-5.105016
13.970000	-3.350109
13.980000	-5.770857
13.990000	-3.009711
14.000000	-2.774605
14.010000	-1.593203
14.020000	-2.664079
14.030000	-2.482634
14.040000	-4.062511
14.050000	-2.510845
14.060000	-0.051494
14.070000	-0.318828
14.080000	1.757523
14.090000	1.365280
14.100000	-5.803199
14.110000	-5.521573
14.120000	-1.641980
14.130000	-2.394835
14.140000	0.840536
14.150000	-1.214148
14.160000	-6.577209
14.170000	-6.605770
14.180000	-5.656679
14.190000	0.145698
14.200000	-1.479501
14.210000	1.163786
14.220000	12.068342
14.230000	8.467239
14.240000	6.493133
14.250000	5.382685
14.260000	3.748889
14.270000	1.174416
14.280000	2.682278
14.290000	1.515242
14.300000	1.081556
14.310000	4.503454
14.320000	0.169586
14.330000	2.672864
14.340000	1.672233
14.350000	0.403403
14.360000	0.255089
14.370000	1.716236
14.380000	0.314947
14.390000	6.529188
14.400000	-0.241705
14.410000	3.099909
14.420000	3.269023
14.430000	-0.560367
14.440000	0.881893
14.450000	-6.263541
14.460000	-3.406257
14.470000	-2.498816
14.480000	2.591517
14.490000	-1.991823
14.500000	1.346316
14.510000	3.412501
14.520000	2.524946
14.530000	1.703682
14.540000	5.360119
14.550000	-2.300834
14.560000	1.606139
14.570000	-3.620199
14.580000	-2.988887
14.590000	3.644071
14.600000	-2.542553
14.610000	-2.467844
14.620000	4.495588
14.630000	-3.241659
14.640000	-9.551975
14.650000	-2.653786
14.660000	1.310778
14.670000	-3.414666
14.680000	-1.398423
14.690000	-1.915083
14.700000	1.018858
14.710000	-4.650726
14.720000	-8.133336
14.730000	-5.480208
14.740000	-1.126986
14.750000	-1.046398
14.760000	0.294357
14.770000	-7.216907
14.780000	-3.750910
14.790000	-7.462586
14.800000	-7.537705
14.810000	-5.479463
14.820000	-2.394520
14.830000	-8.959499
14.840000	-3.359022
14.850000	-1.260510
14.860000	-5.356713
14.870000	4.679708
14.880000	0.634740
14.890000	6.089983
14.900000	9.696454
14.910000	12.481275
14.920000	11.443281
14.930000	5.627272
14.940000	3.603930
14.950000	6.158780
14.960000	4.078304
14.970000	1.268149
14.980000	0.010418
14.990000	0.757705
15.000000	11.677887
15.010000	4.752297
15.020000	4.700492
15.030000	2.953744
15.040000	7.187508
15.050000	8.731328
15.060000	1.306162
15.070000	1.507418
15.080000	1.528585
15.090000	-0.297557
15.100000	2.867729
15.110000	5.401828
15.120000	2.287564
15.130000	-1.267728
15.140000	10.482020
15.150000	-8.244949
15.160000	-11.924580
15.170000	-12.124199
15.180000	-4.562533
15.190000	0.304564
15.200000	-4.755490
15.210000	-2.027324
15.220000	3.136827
15.230000	3.892711
15.240000	-3.040851
15.250000	-8.326944
15.260000	-5.944330
15.270000	-10.465595
15.280000	-6.016167
15.290000	-8.579640
15.300000	-4.722502
15.310000	-5.204923
15.320000	1.237429
15.330000	-3.749051
15.340000	-2.544844
15.350000	1.104987
15.360000	5.419965
15.370000	6.499520
15.380000	1.095209
15.390000	1.139650
15.400000	2.107059
15.410000	4.767139
15.420000	1.380257
15.430000	-0.493532
15.440000	3.154723
15.450000	-0.878115
15.460000	-3.550961
15.470000	-4.811849
15.480000	1.858462
15.490000	11.411172
15.500000	-2.393485
15.510000	-5.413567
15.520000	-2.154045
15.530000	-5.112717
15.540000	-3.960309
15.550000	-3.527114
15.560000	-0.436660
15.570000	7.455867
15.580000	4.744986
15.590000	5.117807
15.600000	5.715655
15.610000	12.228686
15.620000	1.363409
15.630000	5.023831
15.640000	-0.690450
15.650000	-8.200018
15.660000	-4.153529
15.670000	0.260243
15.680000	-1.318503
15.690000	3.300208
