# time	energy_lowpass
21.100000	-55.372233
21.110000	-55.705486
21.120000	-56.080487
21.130000	-56.503652
21.140000	-56.902190
21.150000	-57.297148
21.160000	-57.653666
21.170000	-57.960020
21.180000	-58.247482
21.190000	-58.503767
21.200000	-58.731374
21.210000	-58.931792
21.220000	-59.092046
21.230000	-59.211787
21.240000	-59.342590
21.250000	-59.485991
21.260000	-59.615941
21.270000	-59.745099
21.280000	-59.839059
21.290000	-59.894259
21.300000	-59.937840
21.310000	-59.961485
21.320000	-59.962516
21.330000	-59.943371
21.340000	-59.898966
21.350000	-59.829032
21.360000	-59.740625
21.370000	-59.633002
21.380000	-59.502304
21.390000	-59.349677
21.400000	-59.164717
21.410000	-58.945889
21.420000	-58.698684
21.430000	-58.419925
21.440000	-58.113958
21.450000	-57.780887
21.460000	-57.415543
21.470000	-57.018527
21.480000	-56.652343
21.490000	-56.322321
21.500000	-55.999226
21.510000	-55.700665
21.520000	-55.388977
21.530000	-55.062363
21.540000	-54.755391
21.550000	-54.460832
21.560000	-54.135192
21.570000	-53.779492
21.580000	-53.410336
21.590000	-53.017472
21.600000	-52.636227
21.610000	-52.269099
21.620000	-51.890410
21.630000	-51.508388
21.640000	-51.080303
21.650000	-50.599356
21.660000	-50.091760
21.670000	-49.544718
21.680000	-48.977066
21.690000	-48.390492
21.700000	-47.764009
21.710000	-47.101120
21.720000	-46.442180
21.730000	-45.787526
21.740000	-45.119657
21.750000	-44.448453
21.760000	-43.744436
21.770000	-43.005308
21.780000	-42.253721
21.790000	-41.482873
21.800000	-40.798693
21.810000	-40.214461
21.820000	-39.675662
21.830000	-39.213683
21.840000	-38.773037
21.850000	-38.351218
21.860000	-38.004776
21.870000	-37.723969
21.880000	-37.424007
21.890000	-37.106366
21.900000	-36.807043
21.910000	-36.506334
21.920000	-36.271138
21.930000	-36.107276
21.940000	-35.966345
21.950000	-35.864556
21.960000	-35.736782
21.970000	-35.572246
21.980000	-35.414163
21.990000	-35.243297
22.000000	-35.087394
22.010000	-34.949975
22.020000	-34.800193
22.030000	-34.643785
22.040000	-34.548015
22.050000	-34.514582
22.060000	-34.514914
22.070000	-34.566187
22.080000	-34.621482
22.090000	-34.677823
22.100000	-34.773027
22.110000	-34.896907
22.120000	-34.971284
22.130000	-34.992781
22.140000	-34.991077
22.150000	-34.944887
22.160000	-34.908596
22.170000	-34.883839
22.180000	-34.824461
22.190000	-34.740932
22.200000	-34.676100
22.210000	-34.627464
22.220000	-34.580761
22.230000	-34.545605
22.240000	-34.483447
22.250000	-34.391681
22.260000	-34.296823
22.270000	-34.189734
22.280000	-34.136545
22.290000	-34.146174
22.300000	-34.180532
22.310000	-34.258931
22.320000	-34.349001
22.330000	-34.448140
22.340000	-34.589814
22.350000	-34.767785
22.360000	-34.924678
22.370000	-35.060303
22.380000	-35.198579
22.390000	-35.325467
22.400000	-35.483723
22.410000	-35.676446
22.420000	-35.870968
22.430000	-36.077052
22.440000	-36.248513
22.450000	-36.377136
22.460000	-36.491632
22.470000	-36.577753
22.480000	-36.654391
22.490000	-36.723044
22.500000	-36.761138
22.510000	-36.771853
22.520000	-36.800634
22.530000	-36.847702
22.540000	-36.892554
22.550000	-36.946111
22.560000	-36.975005
22.570000	-36.976287
22.580000	-36.975163
22.590000	-36.963682
22.600000	-36.961531
22.610000	-36.973144
22.620000	-36.983236
22.630000	-36.997925
22.640000	-37.011191
22.650000	-37.021817
22.660000	-37.038271
22.670000	-37.059323
22.680000	-37.060219
22.690000	-37.040030
22.700000	-37.009885
22.710000	-36.963392
22.720000	-36.917037
22.730000	-36.871952
22.740000	-36.814536
22.750000	-36.748369
22.760000	-36.729182
22.770000	-36.760987
22.780000	-36.820118
22.790000	-36.922240
22.800000	-37.031992
22.810000	-37.148211
22.820000	-37.302706
22.830000	-37.488882
22.840000	-37.671686
22.850000	-37.852626
22.860000	-38.044813
22.870000	-38.240313
22.880000	-38.469132
22.890000	-38.733584
22.900000	-39.012721
22.910000	-39.313762
22.920000	-39.594883
22.930000	-39.850122
22.940000	-40.104753
22.950000	-40.346569
22.960000	-40.595349
22.970000	-40.852988
22.980000	-41.098756
22.990000	-41.336591
23.000000	-41.604905
23.010000	-41.904164
23.020000	-42.218349
23.030000	-42.557042
23.040000	-42.892335
23.050000	-43.222345
23.060000	-43.568879
23.070000	-43.925714
23.080000	-44.258235
23.090000	-44.565366
23.100000	-44.858900
23.110000	-45.129432
23.120000	-45.402058
23.130000	-45.677258
23.140000	-45.934035
23.150000	-46.177115
23.160000	-46.423411
23.170000	-46.671487
23.180000	-46.915967
23.190000	-47.160444
23.200000	-47.388667
23.210000	-47.599438
